"issue","source","line","column","delimiter","text"
"unclosed double-backtick inline code span","markdown/api-reference/rest-apis/sales_crm_pricing-POST-compute-price.md","22","14","``","Default URL: ``"
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/acl-api-now-ts.md","183","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/business-rule-api-now-ts.md","95","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/business-rule-api-now-ts.md","237","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/client-script-api-now-ts.md","187","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-import-sets-api.md","218","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-import-sets-api.md","393","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-import-sets-api.md","572","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-script-action-api.md","83","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-script-action-api.md","153","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-script-include-api.md","84","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-catalog-api.md","1517","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
"unclosed double-backtick inline code span","markdown/application-development/servicenow-sdk/fluent-service-catalog-api.md","1572","123","``","-   To provide an inline script, use string literals or template literals for multiple lines of code: `'Script' or `Script``."
